passages,questions
the ancient city had two necropolises outside the walls,What did the ancient city had?
"the main cemetery of the ancient city occupies a large area outside the southern part of the wall, while groups of tombs can also be seen outside the northwestern gate",What occupies a large area?
"from the excavations of the years from one thousand ninty one to ninty six, to an area of approximately four hundred square meter sixty eight (68) burials were found",What was found from the excavations?
"out of the 68 burials that came to light, 62 were found arrested and only 6 unclaimed",What came to light?
"out of the total number of graves, 41 definitely belong to adults, 17 graves that were found very damaged seem to have belonged to adults as well, while only 8 of the total were children's and two of infants",What was found?
"few skeletons are preserved in good condition, so it is difficult to identify the sex and age of the individuals",How many skeletons are preserved?
"of the total number of graves, 66 are box-shaped carved into the natural rock and there is only one inhumation in a sharp-bottomed amphora, although a child's burial in a beehive",What was found?
the graves were carved densely and almost parallel to each other on the downhill slope of the diocese,Where the graves were carved?
from the fragments of vessels recovered from most of the burials it appears that almost all the graves were endowed,What can be speculated from the fragents found?
"the usual grave offerings were vessels, and these are mainly vessels of small size, such as olpes, lekythia and incense containers, but also drinking vessels, such as kyathia and scyphidia",What were the usual offerings?
"the most common grave goods are lamps, which were found in all the box-shaped undisturbed graves.",What were the most common grave goods?
"on the southern upper plateau of the islet, a monumental relief, nearly twenty two meters long, was discovered which can tentatively be dated to the classical times both from its isostructural masonry and from the pottery collected within the layer of lapis associated with its construction",What was found on the upper plateau?
"the findings are of exceptional quality pottery from the geometric and archaic periods, as well as some findings of an undoubtedly votive nature",Is the quality of the findings good?
"at a distance of five meters east of the analemma, the carved rock forms a rectangular outcrop that is highly eroded today, appears to be identified with a monumental altar",What was found near the analemma?
"the embankment forms a kind of platform four point five meters high, to the west of which the natural rock forms a spacious cairn with numerous traces of ancient excavations, some of which seem to relate to some monumental temple which was apparently founded here",What embankment forms?
the identity of the worshiped deity remains unknown at present,Do we know the worshiped deities?
excellent quality ceramics of the geometric and archaic periods were collected from the area,What was collected?
"the shapes are mainly small closed ones, such as hydrias, oenochoes and fountains, while there is no shortage of miniatures",What shapes are there?
"among the finds are a few clay figurines, mostly of female figures, and some bronze votives, such as miniature buckles and other jewelry",What is among the finds?
the finds here probably refer to some female deity,Where the finds refer to?
"the finds lead to the conclusion that the rampart was built during classical times in order to create a foundation for the construction of a temple, of which only some excavations are preserved in the bedrock as the settlement of the early christian period developed in the area",Where the finds lead to?
"from two thousand eight to twenty, excavation work continued on the islet of vryokastraki, a site with continuous habitation from the tenth century bc to the seventh century ad and sporadic indications of human presence during the 12th century bc",When the excavations were done?
"clear indications of a cycladic settlement come from places carved into the natural rock, in which pottery from the third millennium was found",What is clear indicated?
"the initial findings indicate based on the surface research, that the core of the original habitation of the ancient city was the rock island and that the population of the city shrank here in the paleo-christian years, shortly before the site was finally abandoned and its remaining inhabitants moved to upper citadel known today as the castle of oria or katakefalo",What the initial findings indicate?
"the rocky islet, until at least late antiquity, must have been connected to the coast by a narrow isthmus",Was the islet connected to coast?
the building remains and the finds that came to light attest to the centuries-old use of the island,What came to light?
"a three-aisled early christian basilica was excavated, an oblong building of late antiquity, consisting of 15 rooms in a row, part of the coastal wall and a monumental monument of classical times belonging to a sanctuary of the geometric to classical period",What was excavated?
"a proto-byzantine three-aisled church was found which is the evolution of ""secular"" worship into a christian three-aisled one and the sanctuary with its analimma and the monumental altar, whose worship is the oldest in vryokastro 10th century bc",What was found?
on the islet we have the earliest and later structures that have been dated.,What can be dated?
